Species Latin Name,Species Index,Species Common Name,Order,N,Female,Number of Tissue Types,Mean of Age,SD of Age,Minimum of Age,Maximum of Age,Gestation (yrs),Averaged Sexual Maturity (yrs),Maximum Lifespan (yrs),Weight (gram),Marsupial species,Tissue type
Ovis aries,4.1.17,Sheep,Artiodactyla,430,54%,2,3.41,2.29,0.1,9.11,0.4,2,22.8,80000,no,Blood;Ear
Pagophilus groenlandicus,5.9.2,Harp seal,Carnivora,2,0%,2,17.15,0.08,17.09,17.21,0.625,4.74,42,180000,no,Blood;Skin
Pan troglodytes,1.1.3,Chimpanzee,Primates,2,100%,1,43.88,0.42,43.58,44.18,0.627,8.62,59.4,44983.5,no,Blood
Panthera leo nubica,5.2.4,Lion,Carnivora,7,86%,1,6.28,4.68,1.26,12.85,0.299,3,27,175000,no,Blood
Panthera tigris,5.2.5,Tiger,Carnivora,8,50%,1,10.71,4.63,4.91,17.08,0.288,3.68,26.3,161914.66,no,Blood
Papio hamadryas,1.4.3,Olive baboon,Primates,325,76%,6,13.98,6.2,-0.05,22.84,0.468,4.49,37.5,18000,no,Adipose;Cerebellum;Cortex;Heart;Liver;Muscle
Perodicticus potto,1.5.4,Potto,Primates,1,0%,1,11.5,,11.5,11.5,0.466,1.5,32.4,919.9,no,Blood
Peromyscus californicus,9.5.9,California mouse,Rodentia,16,44%,1,0.96,0.67,0.08,2.75,0.082,0.13,5.5,42,no,Tail
Peromyscus eremicus,9.5.10,Cactus mouse,Rodentia,17,53%,1,1.36,0.85,0.16,2.66,0.071,0.35,7.4,25,no,Tail
Peromyscus leucopus,9.5.11,White-footed mouse,Rodentia,31,74%,3,1.32,1.03,0.08,3.58,0.071,0.2,7.9,23,no,Brain;Liver;Tail
Peromyscus maniculatus,9.5.12,Eastern deer mouse,Rodentia,50,78%,3,1.12,0.82,0.08,2.83,0.066,0.13,8.3,20.5,no,Brain;Liver;Tail
Peromyscus polionotus,9.5.13,Oldfield mouse,Rodentia,16,56%,1,0.91,0.65,0.08,1.91,0.066,0.08,5.5,14,no,Tail
Phascolarctos cinereus,11.4.1,Koala,Diprotodontia,4,25%,1,4.42,0.71,3.75,5.42,0.085,2.38,22.1,9300,yes,Blood
Phoca vitulina,5.9.1,Harbor seal,Carnivora,68,56%,2,12.22,11.75,0.52,48,0.693,3.5,48,115000,no,Blood;Skin
Phocoena phocoena,4.17.1,Harbor porpoise,Artiodactyla,2,100%,2,17,0.04,16.97,17.02,0.877,3.45,20.4,52500,no,Blood;Skin
Phyllostomus discolor,8.4.5,Pale spear-nosed bat,Chiroptera,50,62%,1,5.18,5.58,0,17.7,0.288,2,18,43.4,no,Skin
Phyllostomus hastatus,8.4.6,Greater spear-nosed bat,Chiroptera,72,86%,2,7.12,5.22,0,16.5,0.329,2,22,81,no,Liver;Skin
