Species Latin Name,Species Index,Species Common Name,Order,N,Female,Number of Tissue Types,Mean of Age,SD of Age,Minimum of Age,Maximum of Age,Gestation (yrs),Averaged Sexual Maturity (yrs),Maximum Lifespan (yrs),Weight (gram),Marsupial species,Tissue type
Eudorcas thomsonii,4.1.7,Thomson's Gazelle,Artiodactyla,4,50%,1,2.28,4.54,0,9.09,0.466,1,20,25000,no,Blood
Eulemur albifrons,1.3.1,White-headed lemur,Primates,3,67%,2,29.61,8.63,19.65,34.59,0.329,2.66,34.59,2231.59,no,Blood;Skin
Eulemur collaris,1.3.7,Collared brown lemur,Primates,4,75%,2,20.34,16.33,0.84,33.83,0.337,2.07,37,2333.61,no,Blood;Skin
Eulemur coronatus,1.3.2,Crowned lemur,Primates,3,0%,2,10.95,9.2,0.98,19.1,0.345,1.67,30,1645,no,Blood;Skin
Eulemur flavifrons,1.3.8,Blue-eyed black lemur,Primates,4,0%,2,15.41,11.55,0.32,27.4,0.348,2.1,32,2433,no,Blood;Skin
Eulemur fulvus,1.3.3,Brown lemur,Primates,3,67%,2,25.68,7.19,17.38,29.83,0.323,1.56,35.5,2485,no,Blood;Skin
Eulemur macaco,1.3.4,Black lemur,Primates,4,25%,2,22.46,13.9,9.52,34.48,0.329,1.1,37.5,2467,no,Blood;Skin
Eulemur mongoz,1.3.5,Mongoose lemur,Primates,4,50%,2,18.68,14.74,0.82,30.77,0.329,2.35,36.2,1555,no,Blood;Skin
Eulemur rubriventer,1.3.6,Red-bellied lemur,Primates,4,75%,2,22.3,13.53,7.87,33.84,0.329,2.73,34,2191.5,no,Blood;Skin
Eulemur rufus,1.3.9,Red lemur,Primates,3,33%,1,16.5,12.59,5.68,30.32,0.329,1.52,32.67,2286.44,no,Blood
Eulemur sanfordi,1.3.10,Sanford's brown lemur,Primates,4,75%,2,22.42,12.31,9.44,32.94,0.329,1.82,32.94,2111.34,no,Blood;Skin
Eumetopias jubatus,5.8.1,Steller sea lion,Carnivora,1,100%,1,24.68,,24.68,24.68,0.751,5.75,32.8,415000,no,Skin
Felis catus,5.2.2,Domestic cat,Carnivora,128,45%,1,6.93,6.15,0.21,20.92,0.178,0.79,30,3900,no,Blood
Galago moholi,1.7.1,South African galago,Primates,3,33%,2,5.52,1.47,3.9,6.76,0.34,0.71,16.6,169.2,no,Blood;Skin
Gazella leptoceros,4.1.8,Slender Horn gazelle,Artiodactyla,3,0%,1,2.74,2.06,1.43,5.11,0.482,0.43,14.6,48500,no,Blood
Georychus capensis,9.1.2,Cape mole rat,Rodentia,7,,4,5.5,0,5.5,5.5,0.121,0.83,11.2,181,no,Brain;Liver;Muscle;Skin
Giraffa camelopardalis,4.4.1,Giraffe.reticulata.hybrid,Artiodactyla,1,0%,1,1.59,,1.59,1.59,1.252,4,39.5,800000,no,Blood
Globicephala macrorhynchus,4.13.3,Short-finned pilot whale,Artiodactyla,15,67%,2,12.3,7.83,7.54,36.11,1.238,12.06,63,2200000,no,Blood;Skin
Gorilla gorilla,1.1.2,Gorilla,Primates,6,33%,1,24.81,15.63,4.74,47.47,0.701,9.38,60.1,139842,no,Blood
Hapalemur griseus,1.3.11,Bamboo lemur,Primates,4,75%,2,18.14,9.49,7.38,26.12,0.397,3.05,27,1012.5,no,Blood;Skin
Heterocephalus glaber,9.1.3,Naked mole rat,Rodentia,411,47%,15,4.32,5.34,-0.18,26,0.192,5,37,35,no,Adipose;Blood;Brain;Cerebellum;Cortex;Fetus;Fibroblast;Heart;iPSC;Kidney;Liver;Lung;Muscle;Skin;Spleen
Hippotragus equinus,4.1.9,Roan antelope,Artiodactyla,6,50%,1,2.88,4.21,0.01,9.65,0.778,2.12,25.9,225000,no,Blood
Hippotragus niger,4.1.10,Sable antelope,Artiodactyla,5,40%,1,4.34,5,0,11.7,0.742,2.67,22.2,225000,no,Blood
Homo sapiens,1.1.1,Human,Primates,1366,48%,20,49.89,21.42,-0.75,101,0.767,13.5,122.5,62035,no,Adipose;Blood;BoneMarrow;Cerebellum;Cortex;Dermis;Epidermis;ES;Fibroblast;Heart;Keratinocyte;Kidney;Liver;Lung;LymphNode;Muscle;Pituitary;Placenta;Skin;Spleen
Hydrochoerus hydrochaeris,9.3.2,Capybara,Rodentia,1,0%,1,1,,1,1,0.411,1.25,15.1,55000,no,Liver
Hystrix cristata,9.10.1,Crested porcupine,Rodentia,1,0%,1,9.58,,9.58,9.58,0.181,1.5,28,20000,no,Blood
Kobus megaceros,4.1.11,Nile lechwe,Artiodactyla,2,50%,1,0.87,0.12,0.79,0.96,0.644,2,21.1,90000,no,Blood
Lagenorhynchus obliquidens,4.13.4,Pacific white-sided dolphin,Artiodactyla,34,59%,2,15.21,12.57,0.43,40.39,0.975,7,41,103000,no,Blood;Skin
Lemur catta,1.3.12,Ring-tailed lemur,Primates,4,75%,2,11.09,15.45,0.06,32.84,0.37,2.06,37.3,2555,no,Blood;Skin
Leptonycteris yerbabuenae,8.4.4,Lesser long-nosed bat,Chiroptera,11,45%,1,1.4,1.92,0.2,5,0.411,1,10.1,25,no,Skin
Litocranius walleri,4.1.12,Gerenuk,Artiodactyla,7,57%,1,2.96,2.38,0.9,7.39,0.559,0.98,17.3,43500,no,Blood
Loris tardigradus,1.5.1,Slender loris,Primates,2,50%,2,17.51,0.42,17.21,17.81,0.455,1.02,21.6,238.2,no,Blood;Skin
